PlayerName,Date,MatchType(OneDay-T20-Test),OppositionTeam,TossWin,BowlingFirst,BattingFirst,hometeam,LastMatchesPerformance,Last3MatchesPerformance,Last6MatchesPerformance,weather,pitch,Form(InOrOut),Order(BattingBowlingOrder),Performance(IT is label. For Batsman:Runs. For Bowler: Wickets)
Shahid Afridi,28 -8 2006,T-20,england,Loss,PAK,ENG,NIL,NIL,NIL,NIL,CLEAR,GRASSY,NIL,5 DOWN,28
Shahid Afridi,2/2/2007,T-20,South Africa,Loss,SA,PAK,NIL,AVERAGE,NIL,NIL,MOISTURE,GRASSY,IN,5 DOWN,7
Shahid Afridi,2/9/2007,T-20,Bangladesh,Loss,BAN,PAK,NIL,NOT GOOD,NIL,NIL,CLOUDY,DRY,OUT,5 DOWN,32
Shahid Afridi,12/9/2007,T-20,Scotland,Loss,SC,PAK,NIL,AVERAGE,AVERAGE,NIL,MOISTURE,DEAD,IN,6 DOWN,22
Shahid Afridi,14-9-2007,T-20,india,win,PAK,IND,IND,AVERAGE,AVERAGE,NIL,MOISTURE,DEAD,IN,7 DOWN,7
Shahid Afridi,17-9-2007,T-20,Sirilanka,Loss,SI,PAK,NIL,NOT GOOD,AVERAGE,AVERAGE,MOISTURE,DRY,OUT,5 DOWN,17
Shahid Afridi,20-9-2007,T-20,Bangladesh,win,PAK,BAN,NIL,AVERAGE,AVERAGE,AVERAGE,MOISTURE,GRASSY,IN,2 DOWN,39
Shahid Afridi,22-9-2007,T-20,NewZealand,Loss,PAK,NZ,NIL,AVERAGE,AVERAGE,AVERAGE,MOISTURE,GRASSY,OUT,5 DOWN,6
Shahid Afridi,24-9-2007,T-20,India,Loss,PAK,IND,IND,NOT GOOD,AVERAGE,AVERAGE,MOISTURE,GRASSY,OUT,6 DOWN,0
Shahid Afridi,20-4-2008,T-20,Bangladesh,win,BAN,PAK,PAK,POOR,POOR,AVERAGE,MOISTURE,GRASSY,OUT,6 DOWN,10
Shahid Afridi,10/10/2008,T-20,Canada,win,CAN,PAK,CAN,NOT GOOD,POOR,POOR,CLOUDY,DRY,OUT,6 DOWN,16
Shahid Afridi,11/10/2008,T-20,Sirilanka,win,PAK,SI,NIL,NOT GOOD,POOR,POOR,CLOUDY,DRY,IN,6 DOWN,1
Shahid Afridi,12/10/2008,T-20,Zimbabwe,Loss,PAK,ZI,NIL,POOR,POOR,POOR,CLEAR,DRY,OUT,2 DOWN,5
Shahid Afridi,13-10-2008,T-20,Sirilanka,Loss,SI,PAK,NIL,POOR,POOR,POOR,CLEAR,DRY,OUT,3 DOWN,14
Shahid Afridi,7-Jun-09,T-20,england,win,PAK,ENG,ENG,NOT GOOD,POOR,POOR,CLEAR,DRY,IN,6 DOWN,5
Shahid Afridi,9-Jun-09,T-20,Netherlands,win,NET,PAK,NIL,POOR,POOR,POOR,CLEAR,DEAD,OUT,6 DOWN,13
Shahid Afridi,12-Jun,T-20,Sirilanka,Loss,PAK,SI,NIL,NOT GOOD,POOR,POOR,CLEAR,DEAD,IN,6 DOWN,0
Shahid Afridi,13-Jun-09,T-20,NewZealand,Loss,PAK,NZ,NIL,POOR,POOR,POOR,MOISTURE,GRASSY,OUT,6 DOWN,29
Shahid Afridi,15-Jun-09,T-20,ireland,win,IR,PAK,NIL,AVERAGE,POOR,POOR,MOISTURE,DEAD,IN,3 DOWN,24
Shahid Afridi,18-Jun,T-20,South Africa,win,SA,PAK,NIL,AVERAGE,AVERAGE,POOR,DRY,DEAD,IN,3 DOWN,51
Shahid Afridi,21-Jun-09,T-20,Sirilanka,Loss,PAK,SI,NIL,VERY GOOD,AVERAGE,AVERAGE,DRY,DEAD,IN,3 DOWN,54
Shahid Afridi,12-Aug-09,T-20,Sirilanka,win,SI,PAK,NIL,VERY GOOD,AVERAGE,AVERAGE,DRY,DEAD,IN,4 DOWN,50
Shahid Afridi,12-Nov-09,T-20,NewZealand,Loss,NZ,PAK,NIL,VERY GOOD,GOOD,AVERAGE,MOISTURE,DRY,IN,4 DOWN,24
Shahid Afridi,13-Nov-09,T-20,NewZealand,win,NZ,PAK,NIL,AVERAGE,GOOD,GOOD,MOISTURE,DRY,IN,4 DOWN,22
Shahid Afridi,20-Feb-10,T-20,england,win,PAK,ENG,NIL,AVERAGE,GOOD,GOOD,MOISTURE,DRY,IN,5 DOWN,8
Shahid Afridi,1-May-10,T-20,Bangladesh,win,BAN,PAK,NIL,NOT GOOD,AVERAGE,AVERAGE,MOISTURE,DRY,OUT,3 DOWN,9
Shahid Afridi,2-May-10,T-20,australia,Loss,PAK,AUS,NIL,NOT GOOD,AVERAGE,AVERAGE,MOISTURE,DRY,OUT,6 DOWN,33
Shahid Afridi,6-May-10,T-20,england,Loss,ENG,PAK,ENG,AVERAGE,NOT GOOD,AVERAGE,CLEAR,DRY,IN,6 DOWN,0
Shahid Afridi,8-May-10,T-20,NewZealand,win,PAK,NZ,NIL,POOR,NOT GOOD,NOT GOOD,CLEAR,DRY,OUT,6 DOWN,11
Shahid Afridi,10-May-10,T-20,South Africa,win,SA,PAK,NIL,NOT GOOD,NOT GOOD,NOT GOOD,CLEAR,DRY,OUT,6 DOWN,30
Shahid Afridi,14-May-10,T-20,australia,Loss,AUS,PAK,PAK,AVERAGE,NOT GOOD,NOT GOOD,CLEAR,DRY,IN,4 DOWN,8
Shahid Afridi,5-Jul-10,T-20,australia,win,PAK,AUS,AUS,NOT GOOD,NOT GOOD,NOT GOOD,MOISTURE,GRASSY,OUT,5 DOWN,0
Shahid Afridi,6-Jul-10,T-20,australia,win,AUS,PAK,AUS,POOR,NOT GOOD,NOT GOOD,MOISTURE,GRASSY,OUT,6 DOWN,18
Shahid Afridi,5-Sep-10,T-20,england,Loss,ENG,PAK,NIL,AVERAGE,NOT GOOD,NOT GOOD,MOISTURE,GRASSY,IN,6 DOWN,16
Shahid Afridi,7-Sep-10,T-20,england,win,ENG,PAK,PAK,AVERAGE,AVERAGE,AVERAGE,MOISTURE,GRASSY,IN,4 DOWN,2
Shahid Afridi,26-Oct-10,T-20,South Africa,win,SA,PAK,PAK,NOT GOOD,AVERAGE,AVERAGE,CLEAR,DRY,OUT,5 DOWN,25
Shahid Afridi,27-Oct-10,T-20,South Africa,win,SA,PAK,NIL,NOT GOOD,AVERAGE,AVERAGE,CLEAR,DRY,IN,6 DOWN,3
Shahid Afridi,26-Dec-10,T-20,NewZealand,Loss,NZ,PAK,NIL,POOR,NOT GOOD,AVERAGE,MOISTURE,GRASSY,OUT,2 DOWN,20
Shahid Afridi,28-Dec-10,T-20,NewZealand,win,PAK,NZ,NIL,AVERAGE,POOR,NOT GOOD,MOISTURE,DEAD,IN,2 DOWN,7
Shahid Afridi,30-Dec-10,T-20,NewZealand,win,NZ,PAK,NIL,NOT GOOD,NOT GOOD,NOT GOOD,MOISTURE,DRY,OUT,6 DOWN,14
Shahid Afridi,21-Apr-11,T-20,westIndies,Loss,PAK,WI,NIL,AVERAGE,NOT GOOD,NOT GOOD,MOISTURE,DRY,IN,6 DOWN,12
Shahid Afridi,25-Nov-11,T-20,Sirilanka,Loss,PAK,SI,NIL,AVERAGE,AVERAGE,NOT GOOD,MOISTURE,GRASSY,IN,5 DOWN,22
Shahid Afridi,29-Nov-11,T-20,Bangladesh,win,BAN,PAK,BAN,AVERAGE,AVERAGE,NOT GOOD,MOISTURE,GRASSY,IN,7 DOWN,8
Shahid Afridi,23-Feb-12,T-20,england,Loss,ENG,PAK,NIL,NOT GOOD,AVERAGE,AVERAGE,MOISTURE,GRASSY,OUT,4 DOWN,7
Shahid Afridi,25-Feb-12,T-20,england,Loss,PAK,ENG,NIL,NOT GOOD,AVERAGE,AVERAGE,MOISTURE,DEAD,OUT,6 DOWN,25
Shahid Afridi,27-Feb-12,T-20,england,Loss,PAK,ENG,NIL,AVERAGE,NOT GOOD,AVERAGE,MOISTURE,DEAD,IN,5 DOWN,3
Shahid Afridi,1-Jun-12,T-20,Sirilanka,Loss,PAK,SI,SI,NOT GOOD,NOT GOOD,NOT GOOD,MOISTURE,DEAD,OUT,7 DOWN,1
Shahid Afridi,3-Jun-12,T-20,Sirilanka,win,SI,PAK,SI,NOT GOOD,AVERAGE,NOT GOOD,CLEAR,DRY,OUT,5 DOWN,52
Shahid Afridi,23-Sep-12,T-20,NewZealand,win,NZ,PAK,NIL,VERY GOOD,NOT GOOD,AVERAGE,CLEAR,DRY,IN,6 DOWN,12
Shahid Afridi,28-Sep-12,T-20,South Africa,Loss,PAK,SA,NIL,AVERAGE,AVERAGE,NOT GOOD,CLEAR,DRY,IN,6 DOWN,0
Shahid Afridi,30-Sep-12,T-20,india,win,IND,PAK,NIL,POOR,GOOD,AVERAGE,CLEAR,DRY,OUT,3 DOWN,14
Shahid Afridi,2-Oct-12,T-20,australia,Loss,PAK,AUS,NIL,AVERAGE,AVERAGE,AVERAGE,CLEAR,DRY,OUT,7 DOWN,4
Shahid Afridi,4-Oct-12,T-20,Sirilanka,Loss,PAK,SI,NIL,NOT GOOD,AVERAGE,AVERAGE,CLOUDY,GRASSY,OUT,5 DOWN,0
